提交时间,年龄段,城市,使用频率,满意度评分,推荐意愿,最需要改进的地方,开放反馈
2026-06-01,18-24,杭州,每周多次,4,愿意,功能丰富度,希望报告解释更具体
2026-06-01,25-34,上海,每天,5,非常愿意,速度,示例数据很好上手
2026-06-02,25-34,杭州,每周多次,3,一般,图表美观度,图表标题可以更清楚
2026-06-02,35-44,北京,偶尔,4,愿意,隐私说明,希望更明确说明数据不会上传给无关平台
2026-06-03,18-24,广州,每周多次,5,非常愿意,报告质量,简版报告很有用
2026-06-03,25-34,深圳,每天,2,不愿意,错误提示,上传失败时不知道原因
2026-06-04,35-44,杭州,偶尔,4,愿意,示例数据,希望增加问卷和消费案例
2026-06-04,45以上,上海,每月几次,3,一般,操作流程,希望按钮更明显
2026-06-05,25-34,北京,每天,5,非常愿意,分析深度,想要自动给下一步建议
2026-06-05,18-24,杭州,每周多次,4,愿意,图表美观度,希望图表可以下载
2026-06-06,35-44,广州,每月几次,3,一般,报告质量,部分结论有点笼统
2026-06-06,25-34,深圳,每周多次,4,愿意,速度,整体体验不错
